carbon_above,nitrogen_above,DMon_above,DMoff_above,carbon_below,nitrogen_below,DMon_below,DMoff_below
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.63817,0.29798,1.27633,0.00000,0.33274,0.01356,0.66548,0.00000
0.10015,0.01041,0.20031,0.00000,0.09386,0.00356,0.18772,0.00000
0.10993,0.01638,0.21987,0.00000,0.05165,0.00178,0.10329,0.00000
0.10894,0.01648,0.21788,0.00000,0.04485,0.00149,0.08969,0.00000
0.10834,0.01671,0.21668,0.00000,0.04443,0.00146,0.08887,0.00000
0.10790,0.01695,0.21579,0.00000,0.04518,0.00148,0.09037,0.00000
0.10880,0.01783,0.21759,0.00000,0.09723,0.00280,0.19446,0.00000
0.10316,0.01677,0.20632,0.00000,0.04534,0.00148,0.09067,0.00000
0.10316,0.01702,0.20632,0.00000,0.04635,0.00151,0.09269,0.00000
0.10448,0.01793,0.20897,0.00000,0.10051,0.00289,0.20102,0.00000
0.09940,0.01687,0.19880,0.00000,0.04651,0.00151,0.09303,0.00000
0.09975,0.01714,0.19949,0.00000,0.04753,0.00154,0.09506,0.00000
0.10020,0.01742,0.20040,0.00000,0.04856,0.00158,0.09711,0.00000
0.10075,0.01770,0.20149,0.00000,0.04960,0.00161,0.09920,0.00000
0.10358,0.01917,0.20716,0.00000,0.15185,0.00420,0.30370,0.00000
0.09502,0.01703,0.19003,0.00000,0.04818,0.00156,0.09636,0.00000
0.09577,0.01731,0.19155,0.00000,0.04919,0.00159,0.09838,0.00000
0.09660,0.01760,0.19321,0.00000,0.05021,0.00162,0.10042,0.00000
0.09750,0.01789,0.19500,0.00000,0.05125,0.00165,0.10249,0.00000
0.09846,0.01818,0.19692,0.00000,0.05229,0.00169,0.10458,0.00000
0.09948,0.01848,0.19896,0.00000,0.05335,0.00172,0.10670,0.00000
0.10056,0.01878,0.20112,0.00000,0.05442,0.00175,0.10883,0.00000
0.10169,0.01908,0.20337,0.00000,0.05549,0.00179,0.11099,0.00000
0.10286,0.01938,0.20573,0.00000,0.05658,0.00182,0.11316,0.00000
0.10408,0.01969,0.20817,0.00000,0.05768,0.00185,0.11536,0.00000
0.10535,0.02000,0.21069,0.00000,0.05878,0.00189,0.11757,0.00000
0.10665,0.02031,0.21329,0.00000,0.05990,0.00192,0.11979,0.00000
0.10798,0.02061,0.21596,0.00000,0.06102,0.00196,0.12203,0.00000
0.10934,0.02092,0.21869,0.00000,0.06214,0.00199,0.12428,0.00000
0.11074,0.02123,0.22147,0.00000,0.06327,0.00203,0.12655,0.00000
0.11215,0.02153,0.22430,0.00000,0.06441,0.00206,0.12882,0.00000
0.11358,0.02184,0.22717,0.00000,0.06555,0.00210,0.13109,0.00000
0.11503,0.02214,0.23006,0.00000,0.06669,0.00213,0.13337,0.00000
0.11649,0.02243,0.23299,0.00000,0.06783,0.00217,0.13565,0.00000
0.13349,0.03105,0.26698,0.00000,0.87467,0.02257,1.74934,0.00000
0.07343,0.01415,0.14686,0.00000,0.04321,0.00138,0.08642,0.00000
0.07433,0.01432,0.14865,0.00000,0.04390,0.00140,0.08779,0.00000
0.07522,0.01449,0.15044,0.00000,0.04458,0.00142,0.08917,0.00000
0.07611,0.01465,0.15222,0.00000,0.04527,0.00144,0.09054,0.00000
0.07699,0.01480,0.15399,0.00000,0.04595,0.00146,0.09189,0.00000
0.07787,0.01496,0.15573,0.00000,0.04662,0.00148,0.09324,0.00000
0.07872,0.01510,0.15745,0.00000,0.04728,0.00150,0.09457,0.00000
0.07957,0.01524,0.15913,0.00000,0.04794,0.00152,0.09588,0.00000
0.08039,0.01537,0.16078,0.00000,0.04859,0.00154,0.09718,0.00000
0.08120,0.01550,0.16239,0.00000,0.04923,0.00156,0.09845,0.00000
0.08198,0.01562,0.16396,0.00000,0.04985,0.00157,0.09971,0.00000
0.08273,0.01573,0.16547,0.00000,0.05047,0.00159,0.10094,0.00000
0.08346,0.01583,0.16693,0.00000,0.05107,0.00161,0.10214,0.00000
0.08416,0.01592,0.16832,0.00000,0.05165,0.00163,0.10331,0.00000
